               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 135,              0.0203,           0.0061625,                   0,             0.98136,             0.94643,             0.97499,             0.81477,            0.012653,           0.0034457,                   0,           0.0010505,           0.0010505,           0.0010505
                 136,            0.018908,           0.0056961,                   0,             0.99043,             0.92857,             0.97353,             0.82037,            0.012414,           0.0034285,                   0,           0.0010316,           0.0010316,           0.0010316
                 137,            0.019696,           0.0056897,                   0,                   1,             0.92854,             0.97814,             0.81959,            0.012601,           0.0034712,                   0,           0.0010129,           0.0010129,           0.0010129
                 138,            0.019137,            0.005831,                   0,             0.99043,             0.92857,             0.97059,             0.82281,            0.012812,            0.003594,                   0,          0.00099435,          0.00099435,          0.00099435
                 139,             0.01844,           0.0054124,                   0,             0.97246,             0.94643,             0.97693,             0.80806,            0.014233,           0.0036191,                   0,          0.00097604,          0.00097604,          0.00097604
                 140,            0.019551,           0.0057918,                   0,             0.99059,             0.94643,             0.97751,             0.79961,            0.013697,           0.0035381,                   0,          0.00095794,          0.00095794,          0.00095794
                 141,             0.01988,           0.0057749,                   0,                   1,             0.92855,             0.97806,             0.81107,            0.013275,            0.003545,                   0,          0.00094004,          0.00094004,          0.00094004
                 142,            0.019467,           0.0055846,                   0,             0.99044,             0.92857,             0.98119,             0.81586,             0.01298,           0.0033641,                   0,          0.00092236,          0.00092236,          0.00092236
                 143,            0.019515,           0.0056049,                   0,             0.99064,             0.94643,             0.97551,             0.81588,            0.012421,           0.0032966,                   0,           0.0009049,           0.0009049,           0.0009049
                 144,            0.018471,           0.0058254,                   0,             0.99998,             0.94643,             0.97742,             0.81466,            0.012977,           0.0033358,                   0,          0.00088767,          0.00088767,          0.00088767
                 145,            0.019501,           0.0057791,                   0,             0.99055,             0.94643,             0.97649,             0.81268,            0.012652,           0.0032708,                   0,          0.00087066,          0.00087066,          0.00087066
                 146,            0.019216,           0.0056787,                   0,             0.99061,             0.94643,             0.98212,              0.8102,            0.013626,           0.0033847,                   0,          0.00085388,          0.00085388,          0.00085388
                 147,            0.019358,            0.005877,                   0,             0.99053,             0.94643,             0.97968,               0.822,            0.012724,           0.0032955,                   0,          0.00083734,          0.00083734,          0.00083734
                 148,            0.018752,            0.005369,                   0,                   1,             0.92855,             0.98131,             0.82791,            0.012533,           0.0032835,                   0,          0.00082104,          0.00082104,          0.00082104
                 149,             0.01912,           0.0056969,                   0,             0.99994,             0.92857,              0.9796,             0.81508,            0.012963,           0.0034643,                   0,          0.00080499,          0.00080499,          0.00080499
                 150,            0.019307,           0.0060012,                   0,             0.99996,             0.94643,             0.97815,             0.81527,            0.012821,           0.0033179,                   0,          0.00078918,          0.00078918,          0.00078918
                 151,            0.017976,           0.0054256,                   0,             0.99063,             0.94643,             0.98042,             0.83334,            0.012312,           0.0032974,                   0,          0.00077363,          0.00077363,          0.00077363
                 152,            0.017891,           0.0053576,                   0,             0.99995,             0.94643,             0.98115,             0.81179,            0.013633,           0.0034773,                   0,          0.00075833,          0.00075833,          0.00075833
                 153,            0.018358,           0.0056172,                   0,             0.99065,             0.94641,             0.97816,             0.80236,            0.013697,           0.0034632,                   0,          0.00074329,          0.00074329,          0.00074329
                 154,            0.018707,           0.0054888,                   0,             0.99063,             0.94643,             0.97647,             0.81833,            0.012144,           0.0033457,                   0,          0.00072851,          0.00072851,          0.00072851
                 155,            0.019124,           0.0052895,                   0,             0.99992,             0.94643,             0.97853,             0.82696,            0.012324,           0.0033307,                   0,          0.00071401,          0.00071401,          0.00071401
                 156,            0.018417,           0.0055718,                   0,                   1,             0.94641,             0.98023,             0.81063,            0.012932,           0.0034048,                   0,          0.00069977,          0.00069977,          0.00069977
                 157,            0.018595,            0.005621,                   0,             0.99065,             0.94643,             0.97802,             0.81427,            0.012803,           0.0033907,                   0,          0.00068581,          0.00068581,          0.00068581
                 158,            0.018662,           0.0054848,                   0,             0.98143,             0.94643,             0.97518,             0.83423,            0.012017,           0.0032859,                   0,          0.00067213,          0.00067213,          0.00067213
                 159,             0.01828,           0.0057115,                   0,             0.99041,             0.94643,             0.97416,             0.82691,             0.01244,           0.0032159,                   0,          0.00065873,          0.00065873,          0.00065873
                 160,            0.017396,           0.0053778,                   0,             0.97579,             0.94643,             0.97289,             0.83674,            0.012195,           0.0033009,                   0,          0.00064562,          0.00064562,          0.00064562
                 161,            0.018806,           0.0054192,                   0,             0.98137,             0.94643,             0.96747,             0.82309,            0.013081,           0.0033866,                   0,          0.00063279,          0.00063279,          0.00063279
                 162,            0.018711,           0.0057546,                   0,             0.99995,             0.94643,             0.97315,             0.82459,            0.012869,           0.0033308,                   0,          0.00062026,          0.00062026,          0.00062026
                 163,            0.017816,           0.0055318,                   0,                   1,             0.94642,              0.9756,             0.83257,            0.012384,           0.0033435,                   0,          0.00060802,          0.00060802,          0.00060802
